Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #71-75 - 500+,STICKER-71-75-500plus,0,shopify,100,deny,manual,0.41,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #76-80 - 25-49,STICKER-76-80-25-49,0,shopify,100,deny,manual,2.11,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #76-80 - 50-99,STICKER-76-80-50-99,0,shopify,100,deny,manual,1.24,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #76-80 - 100-249,STICKER-76-80-100-249,0,shopify,100,deny,manual,0.82,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #76-80 - 250-499,STICKER-76-80-250-499,0,shopify,100,deny,manual,0.61,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #76-80 - 500+,STICKER-76-80-500plus,0,shopify,100,deny,manual,0.42,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #81-85 - 25-49,STICKER-81-85-25-49,0,shopify,100,deny,manual,2.26,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #81-85 - 50-99,STICKER-81-85-50-99,0,shopify,100,deny,manual,1.33,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #81-85 - 100-249,STICKER-81-85-100-249,0,shopify,100,deny,manual,0.88,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #81-85 - 250-499,STICKER-81-85-250-499,0,shopify,100,deny,manual,0.65,,TRUE,TRUE,,,,,,,,,lb
